rank,product_a,category_a,product_b,category_b,co_purchase_count,support_pct,pair_type
1,Front-line local system engine,Books,Exclusive full-range emulation,Books,7,0.088,same-category
2,Managed non-volatile attitude,Toys & Games,Fully-configurable fresh-thinking implementation,Electronics,6,0.075,cross-category
3,Triple-buffered zero administration function,Books,Up-sized well-modulated budgetary management,Grocery,6,0.075,cross-category
4,Adaptive fault-tolerant intranet,Books,Assimilated upward-trending Local Area Network,Grocery,6,0.075,cross-category
5,Business-focused dynamic support,Toys & Games,Expanded leadingedge website,Beauty,6,0.075,cross-category
6,Profit-focused tangible service-desk,Clothing,Adaptive fault-tolerant intranet,Books,6,0.075,cross-category
7,Quality-focused client-driven projection,Electronics,Configurable bi-directional throughput,Sports & Outdoors,6,0.075,cross-category
8,Devolved motivating frame,Home & Kitchen,Multi-lateral eco-centric encryption,Sports & Outdoors,6,0.075,cross-category
9,Ergonomic user-facing capability,Clothing,Robust tertiary database,Grocery,6,0.075,cross-category
10,Diverse non-volatile encoding,Grocery,Expanded leadingedge website,Beauty,6,0.075,cross-category
11,Innovative maximized service-desk,Sports & Outdoors,Sharable encompassing toolset,Books,6,0.075,cross-category
12,Managed exuding paradigm,Electronics,Multi-tiered asynchronous knowledge user,Beauty,6,0.075,cross-category
13,Digitized stable model,Clothing,Virtual encompassing benchmark,Toys & Games,6,0.075,cross-category
14,Object-based high-level budgetary management,Grocery,Re-contextualized dedicated parallelism,Toys & Games,6,0.075,cross-category
15,Front-line local system engine,Books,Assimilated upward-trending Local Area Network,Grocery,6,0.075,cross-category
16,Persevering holistic approach,Toys & Games,Reactive background policy,Home & Kitchen,6,0.075,cross-category
17,Ameliorated disintermediate database,Toys & Games,Stand-alone systematic project,Toys & Games,5,0.063,same-category
18,Robust tertiary database,Grocery,Future-proofed modular circuit,Grocery,5,0.063,same-category
19,Up-sized well-modulated budgetary management,Grocery,Intuitive high-level benchmark,Grocery,5,0.063,same-category
20,Grass-roots national forecast,Books,Sharable encompassing toolset,Books,5,0.063,same-category
21,Right-sized systematic strategy,Grocery,Sharable coherent support,Grocery,5,0.063,same-category
22,Operative logistical open system,Sports & Outdoors,Open-source human-resource time-frame,Toys & Games,5,0.063,cross-category
23,Distributed even-keeled core,Toys & Games,Fully-configurable transitional archive,Clothing,5,0.063,cross-category
24,Managed exuding paradigm,Electronics,Enhanced bi-directional attitude,Books,5,0.063,cross-category
25,Object-based multi-tasking capacity,Books,Grass-roots needs-based open system,Grocery,5,0.063,cross-category
26,Progressive foreground standardization,Beauty,Progressive 6thgeneration emulation,Grocery,5,0.063,cross-category
27,Cross-group multimedia knowledge user,Toys & Games,Reverse-engineered uniform secured line,Books,5,0.063,cross-category
28,Polarized stable matrix,Beauty,Persistent zero administration service-desk,Grocery,5,0.063,cross-category
29,Programmable leadingedge budgetary management,Sports & Outdoors,Progressive eco-centric help-desk,Books,5,0.063,cross-category
30,Devolved motivating frame,Home & Kitchen,Progressive 6thgeneration emulation,Grocery,5,0.063,cross-category
31,Programmable leadingedge budgetary management,Sports & Outdoors,Horizontal homogeneous Local Area Network,Electronics,5,0.063,cross-category
32,Face-to-face exuding software,Books,Fully-configurable fresh-thinking implementation,Electronics,5,0.063,cross-category
33,Front-line neutral Graphic Interface,Books,Exclusive logistical benchmark,Toys & Games,5,0.063,cross-category
34,Synergistic real-time portal,Clothing,Polarized foreground conglomeration,Sports & Outdoors,5,0.063,cross-category
35,Polarized coherent knowledgebase,Sports & Outdoors,Customer-focused 24/7 attitude,Sports & Outdoors,5,0.063,same-category
36,Managed leadingedge groupware,Grocery,Inverse real-time solution,Beauty,5,0.063,cross-category
37,Switchable intangible pricing structure,Home & Kitchen,Cross-platform radical alliance,Sports & Outdoors,5,0.063,cross-category
38,Robust holistic instruction set,Electronics,Exclusive full-range emulation,Books,5,0.063,cross-category
39,Up-sized intangible frame,Toys & Games,Persevering holistic approach,Toys & Games,5,0.063,same-category
40,Sharable coherent support,Grocery,Cross-group contextually-based Internet solution,Clothing,5,0.063,cross-category
41,Synchronized bottom-line Local Area Network,Clothing,Intuitive demand-driven hub,Beauty,5,0.063,cross-category
42,Horizontal homogeneous Local Area Network,Electronics,Adaptive fault-tolerant intranet,Books,5,0.063,cross-category
43,Up-sized intangible frame,Toys & Games,Automated context-sensitive functionalities,Sports & Outdoors,5,0.063,cross-category
44,Polarized foreground conglomeration,Sports & Outdoors,Team-oriented asymmetric utilization,Grocery,5,0.063,cross-category
45,Up-sized intangible frame,Toys & Games,Expanded optimizing circuit,Sports & Outdoors,5,0.063,cross-category
46,Cross-platform radical alliance,Sports & Outdoors,Fully-configurable transitional archive,Clothing,5,0.063,cross-category
47,Adaptive fault-tolerant intranet,Books,Programmable composite software,Grocery,5,0.063,cross-category
48,Fully-configurable fresh-thinking implementation,Electronics,Persistent zero administration service-desk,Grocery,5,0.063,cross-category
49,Managed exuding paradigm,Electronics,Inverse disintermediate framework,Sports & Outdoors,5,0.063,cross-category
50,Enhanced bi-directional attitude,Books,Face-to-face exuding software,Books,5,0.063,same-category
